seed,map_hash,outcome,time_s,cumulative_turn_deg,steering_tv_per_s,yaw_reversals,peak_yaw_deg_s,peak_yaw_accel_deg_s2,min_circle_clearance_m,compute_s
2105,59773c25283c7696,success,88.92,605.2444711396788,0.4743890985519906,17,18.855507438006608,25.979470465868587,-0.1541592800125109,7.0611940960006905
2106,6aced34435aefa5d,success,43.52,176.66502330227524,0.31655043845540787,6,11.35162142580033,15.092639367998853,-0.16654771119984757,3.8472459969998454
2107,24e0761d5e11ad30,success,50.84,309.5541388459924,0.40187765583945667,5,18.24534241725513,21.04290721433444,-0.24591960524887754,4.665988638000272
2108,6a6a36eab790f76c,success,50.44,221.8702855268178,0.41089679632900983,7,14.27433942017136,25.48685937690824,-0.2570783659653918,4.029054760998406
2109,ae2cb97d7d9c57bb,success,49.4,403.12633170433537,0.5105240418752067,7,23.618776667832268,29.046744605737175,-0.123063761884288,3.5725471599980665
2110,73dd687d2f503172,success,74.32000000000001,430.7783049609833,0.3753274430996418,11,18.283801707550104,26.393603691516212,-0.2113388935554164,5.179543015998206
2111,0ade2fd3f9ccdfe7,success,69.56,334.0541218204367,0.4536564026600422,14,17.230287875507695,27.00415005733382,-0.20178804610979795,5.460891378999804
2112,edda547962466b94,success,64.2,375.108998556791,0.4921991924226954,9,18.632733068717663,28.57893594210216,-0.12451522395009704,4.489861871999892
2113,988cdff9ad002a50,success,52.32,291.43786774599374,0.42017326591971865,10,20.717770498083603,29.4811305103865,-0.2696940884948997,3.7119713419997424
2114,92ccdce0f07648b8,success,49.32,272.9506152850204,0.31268443613392627,5,18.38564975549506,21.740878757969632,-0.19927315316915922,3.2539205389985
2115,56063d3daf87a300,success,77.72,487.12940804790526,0.3460113629799163,12,19.131269295767208,23.945989159865437,-0.23431635023335715,5.920834597000066
2116,bb662535aa443349,success,68.72,553.2823727844456,0.39504600024640735,11,19.773676965361886,24.883666633864625,-0.2580524139910604,4.718713526999636
2117,9aefe5938debf6ba,success,63.36,321.6101786269363,0.28335318444294205,8,18.587328162519796,19.903937804763487,-0.21407017073041387,4.0022023060009815
2118,c1e46e353cbe349f,success,84.96000000000001,543.870950338989,0.47361590677368787,12,16.51806399224925,24.304124987090567,-0.1454099494225298,5.81483628800197
2119,4a74b81af5b0dcee,success,55.32,429.5794536280449,0.5328061483385788,8,20.258715978061,28.266727221993214,-0.18708322598507196,3.785600433999207
2120,a711f719569567df,success,78.52,460.5210581689245,0.3838402630840157,13,22.358237509338288,24.383532250339325,-0.20726886747668274,5.547548280002957
2121,c925faa8f09cefd1,success,44.64,280.0053866398956,0.30611920326607006,5,22.57352025587702,16.359729179585123,-0.17019445376405273,3.2654034509978374
2122,0cb4dd875132e06c,success,62.76,306.8458578921327,0.46537133625869365,11,15.873901828902136,20.109196353385883,-0.1213951160002803,3.909032359999401
2123,1fb8c2bb5285e343,success,65.76,393.2431551242205,0.39126789049069444,10,16.954680816173116,24.773516007554274,-0.18263915750416104,4.416295351998997
2124,1d02eb005cb68e0e,success,105.04,638.7958890737904,0.5204979155174326,20,18.278941479197975,29.267412333676745,-0.20826580720948953,8.26433773500321
2125,5fb30ffe5abe32ca,success,106.2,664.8352761283411,0.41073503496768565,17,24.2094158978659,28.30296716266319,-0.24170154349155085,7.394123678001051
