seed,map_hash,outcome,time_s,cumulative_turn_deg,steering_tv_per_s,yaw_reversals,peak_yaw_deg_s,peak_yaw_accel_deg_s2,min_circle_clearance_m,compute_s
2055,8e7576f012818a38,success,51.08,470.57965348579535,0.2506120229605221,13,64.96716732530113,285.2358142636703,-0.25691650390625,1.8536751139981789
2056,893f4dd327ff2956,success,46.96,288.4509960196335,0.13997044628817235,16,16.98636937405259,61.17806050579498,-0.06897171020507813,1.4807351759991434
2057,86ef3e1cbc8745b0,success,47.04,373.59996028137795,0.19606320923162612,14,47.96449458626059,224.03233775049284,-0.13221595764160157,1.5545716469969193
2058,37feac633cc17b70,success,47.6,302.3489748980149,0.15757264329723136,10,22.70725432224765,135.594260848002,-0.04924057006835938,1.5603793499976746
2059,730f91e6bd97af91,success,49.96,413.7906604146661,0.20959351664165585,18,67.67190532148811,285.20392981181,-0.3791352844238281,1.7595142419995682
2060,0d48a34bab34b2b8,success,48.0,455.5606777977011,0.23644396216453364,16,65.58888242504165,294.7293029496079,-0.12233268737792968,1.5847540579998167
2061,ecaaf7d40c9968cb,collision,35.72,464.92257371015717,0.40192895486842933,10,67.21440054349435,285.2177462850334,-0.3232623291015625,1.1190412239993748
2062,a84dd8028724a972,success,47.96,408.5793237858602,0.20132898636068294,10,51.7661213854262,196.58130003170575,-0.07722373962402344,1.644692155001394
2063,9176ccc91a801cfa,success,52.84,557.5544582144038,0.2579926732747077,15,49.35115140900638,285.2054931942178,-0.2871509552001953,1.9656824259982386
2064,74dfc4b642d82e5c,success,51.84,472.5032619354363,0.24612403875734243,12,66.1142302098538,285.19790080172754,-0.20833229064941405,2.091662468999857
2065,199fc50ce5b7364f,success,50.44,486.2330286302743,0.24742085086351628,13,52.197303467593365,265.28830077121034,-0.2097509765625,1.842610412000795
2066,8a169ad65020046b,success,50.72,456.8255381578278,0.17485556736946906,12,34.80683034610339,229.67523207987145,-0.11500823974609375,1.5890350410008978
2067,9a168fc2c661ab59,success,50.36,385.16385145364006,0.19259252001082405,10,59.595855455333286,236.81476217792004,-0.15315628051757812,1.7074567119998392
2068,d5538baec457acd6,success,47.08,407.01727793135603,0.17823462591414754,14,29.001602391937993,87.17822180281163,-0.06462989807128906,1.7677824320016953
2069,8ad7d98852fed39b,success,48.96,324.9172933249302,0.17623640674500599,14,49.79693779031051,270.93649689798224,-0.14289138793945313,1.8557916360005038
2070,936e5acc634398f1,success,48.24,370.8228457295246,0.1866848215732606,13,64.96763129642122,285.1820257053833,-0.2219305419921875,1.4842302850011038
