x,y,theta,v,omega,distance,heading_error,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8
366.33615600132555,108.39064462821328,0.1354648249210199,4.0,0.0,583.7241520689254,-0.1498396517517276,1.0,1.0,1.0,0.5858586,1.0,1.0,1.0,0.9292929,0.7676768
370.29951065423734,108.93084819654864,0.035464824921019905,4.0,-0.1,579.7692794528066,-0.05086957599590263,0.43434343,1.0,1.0,1.0,0.5555556,1.0,1.0,1.0,0.83838385
374.29699541027037,109.07267776075707,0.035464824921019905,4.0,0.0,575.774489687927,-0.05122282291104423,1.0,1.0,1.0,1.0,0.53535354,1.0,1.0,1.0,0.83838385
378.2944801663034,109.21450732496551,0.035464824921019905,4.0,0.0,571.779772774063,-0.05158100576278593,1.0,1.0,1.0,1.0,0.5050505,1.0,1.0,1.0,0.82828283
382.29196492233643,109.35633688917395,-0.0645351750789801,4.0,-0.1,567.7851302488692,0.04805577135973026,0.41414142,1.0,1.0,1.0,0.47474748,1.0,1.0,1.0,0.9191919
386.2836382352012,109.09837533513252,0.035464824921019905,4.0,0.1,563.7897808182413,-0.05160341169227674,1.0,1.0,1.0,1.0,0.45454547,1.0,1.0,1.0,0.82828283
390.2811229912342,109.24020489934095,-0.0645351750789801,4.0,-0.1,559.795143482449,0.04802802124206308,0.969697,1.0,1.0,1.0,0.41414142,1.0,1.0,1.0,0.9191919
394.27279630409896,108.98224334529952,-0.0645351750789801,4.0,0.0,555.7997891535941,0.048373538177940704,0.969697,1.0,1.0,1.0,0.3939394,1.0,1.0,1.0,0.9292929
398.2644696169637,108.7242817912581,-0.0645351750789801,4.0,0.0,551.8045021380523,0.04872405851994239,0.969697,1.0,1.0,1.0,0.36363637,1.0,1.0,1.0,0.9292929
402.25614292982846,108.46632023721666,-0.1645351750789801,4.0,-0.1,547.8092839086132,0.14907969165362311,0.8989899,1.0,1.0,1.0,0.36363637,0.34343433,1.0,1.0,1.0
406.2021213192545,107.8111450315026,-0.1645351750789801,4.0,0.0,543.8539756629366,0.15017210344965382,0.8888889,1.0,1.0,1.0,0.33333334,0.3131313,1.0,1.0,1.0
410.14809970868055,107.15596982578855,-0.1645351750789801,4.0,0.0,539.8993259416948,0.15128051996079928,0.8787879,1.0,1.0,1.0,0.3131313,0.28282827,1.0,1.0,1.0
414.0940780981066,106.50079462007449,-0.2645351750789801,4.0,-0.1,535.945349322308,0.25240529272113565,0.82828283,0.94949496,1.0,1.0,1.0,0.26262626,0.26262626,1.0,1.0
417.9549346523939,105.45495205677116,-0.36453517507898014,4.0,-0.1,532.0730288810739,0.35428273354213247,0.7777778,0.86868685,1.0,1.0,1.0,0.26262626,0.23232323,0.25252524,1.0
421.69209296908144,104.0288918490615,-0.36453517507898014,4.0,0.0,528.323269032248,0.3569092930955494,0.7676768,0.85858583,1.0,1.0,1.0,0.25252524,0.21212122,0.22222222,1.0
